s,x0,x1,x2,x3,x4,x5,u0,u1
2.879998342897003294e-01,-4.075372300977212294e-04,2.000860637102543575e-07,4.102674076855231666e-01,4.996180711886877290e+00,-1.570477088697993295e+00,6.000000238418579102e-01,-2.574043228751642875e-19,-6.095346579665772814e-04
2.909998439015734628e-01,-4.141582609688193909e-04,-1.032000552869451706e-06,4.102683558098004224e-01,4.993180711917497128e+00,-1.570483709728864197e+00,6.000000238418579102e-01,-2.574043228751642875e-19,-6.095346579665772814e-04
2.939998535020230674e-01,-4.210069657931886692e-04,-2.279762188627378481e-06,4.102692833879633683e-01,4.990180711941692770e+00,-1.570490558433688788e+00,6.000000238418579102e-01,-2.574043228751642875e-19,-6.095346579665772814e-04
2.969997982378617118e-01,-4.278556706177799921e-04,-3.548070045605133928e-06,4.102701904200120042e-01,4.987180711959606327e+00,-1.570497407138513379e+00,6.000000238418579102e-01,-2.574043228751642875e-19,-6.095346579665772814e-04
2.999998089420079506e-01,-4.347043754423713150e-04,-4.838058589655303568e-06,4.102710769059461637e-01,4.984180711971379907e+00,-1.570504255843337971e+00,6.000000238418579102e-01,2.803501144764157499e-18,-6.071486052049372261e-04
3.029998274724582386e-01,-4.403332439660128652e-04,-6.152791365036811736e-06,4.102719464650605441e-01,4.981180711978198339e+00,-1.570509884711861259e+00,6.000000238418579102e-01,2.803501144764157499e-18,-6.071486052049372261e-04
3.059997214896381657e-01,-4.471551392011668393e-04,-7.487989660446027541e-06,4.102727955584892228e-01,4.978180711979154793e+00,-1.570516706607096635e+00,6.000000238418579102e-01,2.803501144764157499e-18,-6.071486052049372261e-04
3.089997400018716922e-01,-4.539770344363208135e-04,-8.843653804980213901e-06,4.102736241862321442e-01,4.975180711974387826e+00,-1.570523528502332011e+00,6.000000238418579102e-01,2.803501144764157499e-18,-6.071486052049372261e-04
3.119997513896098362e-01,-4.607989296719188768e-04,-1.021264316458608469e-05,4.102744323482893085e-01,4.972180711964038657e+00,-1.570530350397567387e+00,6.000000238418579102e-01,-7.349636923853816201e-18,-6.030002498719024863e-04
3.149996960755264142e-01,-4.655000359248607817e-04,-1.159399424153571874e-05,4.102752263371114982e-01,4.969180711949904961e+00,-1.570535051503820334e+00,6.000000238418579102e-01,-7.349636923853816201e-18,-6.030002498719024863e-04
3.179997056080094975e-01,-4.722753204138631128e-04,-1.299567106271873646e-05,4.102760000000801877e-01,4.966180711930460845e+00,-1.570541826788309336e+00,6.000000238418579102e-01,-7.349636923853816201e-18,-6.030002498719024863e-04
3.209997150909472685e-01,-4.790506049028654440e-04,-1.442186788830535910e-05,4.102767533371952102e-01,4.963180711905842202e+00,-1.570548602072798339e+00,6.000000238418579102e-01,-7.349636923853816201e-18,-6.030002498719024863e-04
3.239997246063484049e-01,-4.858258893918677751e-04,-1.587314848348216114e-05,4.102774863484565659e-01,4.960180711876190252e+00,-1.570555377357287341e+00,6.000000238418579102e-01,1.545653295974099698e-18,-5.972478133193536744e-04
3.269996692168123387e-01,-4.896603206918682949e-04,-1.733602923705164083e-05,4.102782077594726573e-01,4.957180711843725440e+00,-1.570559211788587373e+00,6.000000238418579102e-01,1.545653295974099698e-18,-5.972478133193536744e-04
3.299996787166952772e-01,-4.963709710450493751e-04,-1.881904202585228119e-05,4.102789090385374760e-01,4.954180711806487558e+00,-1.570565922438940554e+00,6.000000238418579102e-01,1.545653295974099698e-18,-5.972478133193536744e-04
3.329996882065590635e-01,-5.030816213982304552e-04,-2.032218676404573963e-05,4.102795901856510219e-01,4.951180711764610720e+00,-1.570572633089293735e+00,6.000000238418579102e-01,1.545653295974099698e-18,-5.972478133193536744e-04
3.359996327869639310e-01,-5.097922717516335800e-04,-2.184546336545931916e-05,4.102802512008132951e-01,4.948180711718230818e+00,-1.570579343739646916e+00,6.000000238418579102e-01,1.891504442428327730e-17,-6.377464317753983288e-04
3.389996422241501328e-01,-5.372072779088047419e-04,-2.345030250236468044e-05,4.102808306535167260e-01,4.945180711654987959e+00,-1.570606758745804354e+00,6.000000238418579102e-01,1.891504442428327730e-17,-6.377464317753983288e-04
3.419996589729545344e-01,-5.443729690452617839e-04,-2.506938506155134981e-05,4.102813886091462581e-01,4.942180711587671027e+00,-1.570613924436940811e+00,6.000000238418579102e-01,1.891504442428327730e-17,-6.377464317753983288e-04
3.449995528764081554e-01,-5.515386601817188258e-04,-2.670826644815414475e-05,4.102819250677018359e-01,4.939180711516432787e+00,-1.570621090128077268e+00,6.000000238418579102e-01,1.891504442428327730e-17,-6.377464317753983288e-04
3.479995712289633558e-01,-5.587043513181758677e-04,-2.836864469893966690e-05,4.102824400291834595e-01,4.936180711441426894e+00,-1.570628255819213726e+00,6.000000238418579102e-01,-4.154236716881143976e-21,-5.814295205748231093e-04
3.509995132198356349e-01,-5.370788045455534123e-04,-2.996986300342961398e-05,4.102830189181452258e-01,4.933180711378074790e+00,-1.570606630272441073e+00,6.000000238418579102e-01,-4.154236716881143976e-21,-5.814295205748231093e-04
3.539993730196037691e-01,-5.436117212265103140e-04,-3.159582105015176784e-05,4.102835782083565364e-01,4.930180711311004771e+00,-1.570613163189122030e+00,6.000000238418579102e-01,-4.154236716881143976e-21,-5.814295205748231093e-04
3.570001217995518172e-01,-5.501446379074672157e-04,-3.324137930351173825e-05,4.102841178998173910e-01,4.927180711240345623e+00,-1.570619696105802987e+00,6.000000238418579102e-01,-4.154236716881143976e-21,-5.814295205748231093e-04
3.600000300751544091e-01,-5.566775545886461620e-04,-3.490365539132859091e-05,4.102846379925277343e-01,4.924180711166225244e+00,-1.570626229022483944e+00,6.000000238418579102e-01,-1.985326595684887724e-17,-5.712917802548868806e-04
3.630000492808275192e-01,-5.580276926241820772e-04,-3.656354503090401701e-05,4.102851538639629703e-01,4.921180711091374782e+00,-1.570627579160519760e+00,6.000000238418579102e-01,-1.985326595684887724e-17,-5.712917802548868806e-04
3.659999442515839418e-01,-5.644467020828179043e-04,-3.824269188558641859e-05,4.102856504783694014e-01,4.918180711013275364e+00,-1.570633998169978396e+00,6.000000238418579102e-01,-1.985326595684887724e-17,-5.712917802548868806e-04
3.689999633116952671e-01,-5.708657115416757759e-04,-3.994227450936090566e-05,4.102861278357468611e-01,4.915180710932048669e+00,-1.570640417179437032e+00,6.000000238418579102e-01,-1.985326595684887724e-17,-5.712917802548868806e-04
3.719999824862789684e-01,-5.772847210000895584e-04,-4.166931362571208103e-05,4.102865859360954603e-01,4.912180710847820819e+00,-1.570646836188895668e+00,6.000000238418579102e-01,2.680437108302096270e-18,-5.601999451580337011e-04
